"Intent","Mechanism","Sex","Age Group","Estimated Number","Population","Crude Rate","Age-Adjusted Rate"
"Unintentional (Includes undetermined)","Bite: Dog","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Dog","Unknown","45 to 49","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Dog","Unknown","55 to 59","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Dog","Unknown","75 to 79","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","0 to 4","--","9,459,399","--","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","5 to 9","35,779","10,304,720","347.21","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","10 to 14","17,272","10,667,918","161.91","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","15 to 19","15,866","11,296,635","140.45","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","20 to 24","18,897","11,126,811","169.84","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","25 to 29","20,796","11,175,898","186.08","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","30 to 34","26,087","11,883,289","219.53","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","35 to 39","25,007","11,364,080","220.06","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","40 to 44","25,664","10,998,156","233.35","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","45 to 49","21,318","9,886,355","215.63","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","50 to 54","24,190","10,300,754","234.84","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","55 to 59","24,749","10,166,391","243.43","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","60 to 64","19,846","10,337,454","191.98","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","65 to 69","17,235","9,125,260","188.87","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","70 to 74","13,594","7,209,820","188.55","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","75 to 79","8,676","5,166,023","167.94","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","80 to 84","4,387","2,996,476","146.40","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","85+","3,630","2,283,961","158.95","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","0 to 4","49,154","9,051,761","543.04","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","5 to 9","27,539","9,848,037","279.64","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","10 to 14","15,163","10,166,646","149.14","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","15 to 19","19,576","10,778,845","181.61","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","20 to 24","23,075","10,684,361","215.97","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","25 to 29","23,188","10,842,462","213.86","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","30 to 34","25,351","11,640,867","217.78","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","35 to 39","24,662","11,142,564","221.33","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","40 to 44","22,164","10,885,893","203.60","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","45 to 49","19,923","9,930,655","200.62","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","50 to 54","22,754","10,376,017","219.29","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","55 to 59","21,069","10,439,866","201.82","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","60 to 64","20,636","10,910,700","189.14","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","65 to 69","18,324","10,025,468","182.78","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","70 to 74","14,472","8,324,736","173.84","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","75 to 79","11,777","6,221,394","189.30","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","80 to 84","7,059","3,984,204","177.18","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Females","85+","5,140","3,911,019","131.42","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Bite: Other, including sting","Unknown","50 to 54","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","0 to 4","32,887","9,459,399","347.67","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","5 to 9","41,575","10,304,720","403.45","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","10 to 14","52,527","10,667,918","492.38","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","15 to 19","76,414","11,296,635","676.43","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","20 to 24","113,535","11,126,811","1,020.37","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","25 to 29","104,295","11,175,898","933.21","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","30 to 34","97,934","11,883,289","824.13","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","35 to 39","88,113","11,364,080","775.36","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","40 to 44","77,927","10,998,156","708.55","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","45 to 49","63,578","9,886,355","643.09","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","50 to 54","58,734","10,300,754","570.19","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","55 to 59","55,628","10,166,391","547.18","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","60 to 64","50,091","10,337,454","484.56","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","65 to 69","35,856","9,125,260","392.94","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","70 to 74","26,881","7,209,820","372.84","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","75 to 79","17,046","5,166,023","329.96","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","80 to 84","9,495","2,996,476","316.87","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","85+","6,556","2,283,961","287.06","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","0 to 4","25,053","9,051,761","276.77","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","5 to 9","32,370","9,848,037","328.70","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","10 to 14","30,797","10,166,646","302.93","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","15 to 19","43,623","10,778,845","404.71","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","20 to 24","64,119","10,684,361","600.12","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","25 to 29","58,831","10,842,462","542.60","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","30 to 34","62,379","11,640,867","535.86","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","35 to 39","49,513","11,142,564","444.36","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","40 to 44","41,021","10,885,893","376.82","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","45 to 49","29,037","9,930,655","292.39","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","50 to 54","30,843","10,376,017","297.25","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","55 to 59","30,628","10,439,866","293.38","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","60 to 64","26,420","10,910,700","242.15","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","65 to 69","20,203","10,025,468","201.51","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","70 to 74","15,100","8,324,736","181.39","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","75 to 79","9,577","6,221,394","153.94","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","80 to 84","6,050","3,984,204","151.84","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Females","85+","6,111","3,911,019","156.24","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","0 to 4","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","10 to 14","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","15 to 19","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","25 to 29","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","40 to 44","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","45 to 49","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","50 to 54","--","--","--","--"
"Unintentional (Includes undetermined)","Cut/Pierce","Unknown","65 to 69","--","--","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","0 to 4","--","9,459,399","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","5 to 9","--","10,304,720","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","10 to 14","--","10,667,918","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","15 to 19","--","11,296,635","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","20 to 24","--","11,126,811","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","25 to 29","--","11,175,898","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","30 to 34","--","11,883,289","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","35 to 39","--","11,364,080","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","40 to 44","--","10,998,156","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","45 to 49","--","9,886,355","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","55 to 59","--","10,166,391","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","60 to 64","--","10,337,454","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","65 to 69","--","9,125,260","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","70 to 74","--","7,209,820","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","75 to 79","--","5,166,023","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","80 to 84","--","2,996,476","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","0 to 4","--","9,051,761","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","5 to 9","--","9,848,037","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","10 to 14","--","10,166,646","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","15 to 19","--","10,778,845","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","20 to 24","--","10,684,361","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","25 to 29","--","10,842,462","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","30 to 34","--","11,640,867","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","40 to 44","--","10,885,893","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","45 to 49","--","9,930,655","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","50 to 54","--","10,376,017","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","55 to 59","--","10,439,866","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","65 to 69","--","10,025,468","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","70 to 74","--","8,324,736","--","--"
"Unintentional (Includes undetermined)","Drowning / Submersion","Females","80 to 84","--","3,984,204","--","--"
"Unintentional (Includes undetermined)","Fall","Males","0 to 4","443,893","9,459,399","4,692.62","--"
"Unintentional (Includes undetermined)","Fall","Males","5 to 9","264,564","10,304,720","2,567.41","--"
"Unintentional (Includes undetermined)","Fall","Males","10 to 14","208,182","10,667,918","1,951.48","--"
"Unintentional (Includes undetermined)","Fall","Males","15 to 19","157,457","11,296,635","1,393.84","--"
"Unintentional (Includes undetermined)","Fall","Males","20 to 24","138,130","11,126,811","1,241.41","--"
"Unintentional (Includes undetermined)","Fall","Males","25 to 29","128,155","11,175,898","1,146.71","--"
"Unintentional (Includes undetermined)","Fall","Males","30 to 34","154,592","11,883,289","1,300.92","--"
"Unintentional (Includes undetermined)","Fall","Males","35 to 39","150,537","11,364,080","1,324.68","--"
"Unintentional (Includes undetermined)","Fall","Males","40 to 44","155,558","10,998,156","1,414.40","--"
"Unintentional (Includes undetermined)","Fall","Males","45 to 49","140,526","9,886,355","1,421.41","--"
"Unintentional (Includes undetermined)","Fall","Males","50 to 54","178,013","10,300,754","1,728.15","--"
"Unintentional (Includes undetermined)","Fall","Males","55 to 59","218,108","10,166,391","2,145.38","--"
"Unintentional (Includes undetermined)","Fall","Males","60 to 64","271,089","10,337,454","2,622.40","--"
"Unintentional (Includes undetermined)","Fall","Males","65 to 69","286,818","9,125,260","3,143.12","--"
"Unintentional (Includes undetermined)","Fall","Males","70 to 74","285,442","7,209,820","3,959.08","--"
"Unintentional (Includes undetermined)","Fall","Males","75 to 79","285,412","5,166,023","5,524.79","--"
"Unintentional (Includes undetermined)","Fall","Males","80 to 84","266,002","2,996,476","8,877.15","--"
"Unintentional (Includes undetermined)","Fall","Males","85+","362,353","2,283,961","15,865.13","--"
"Unintentional (Includes undetermined)","Fall","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Females","0 to 4","333,495","9,051,761","3,684.31","--"
"Unintentional (Includes undetermined)","Fall","Females","5 to 9","207,895","9,848,037","2,111.03","--"
"Unintentional (Includes undetermined)","Fall","Females","10 to 14","154,328","10,166,646","1,517.99","--"
"Unintentional (Includes undetermined)","Fall","Females","15 to 19","136,819","10,778,845","1,269.33","--"
"Unintentional (Includes undetermined)","Fall","Females","20 to 24","123,069","10,684,361","1,151.86","--"
"Unintentional (Includes undetermined)","Fall","Females","25 to 29","121,172","10,842,462","1,117.56","--"
"Unintentional (Includes undetermined)","Fall","Females","30 to 34","136,103","11,640,867","1,169.18","--"
"Unintentional (Includes undetermined)","Fall","Females","35 to 39","128,859","11,142,564","1,156.45","--"
"Unintentional (Includes undetermined)","Fall","Females","40 to 44","139,387","10,885,893","1,280.44","--"
"Unintentional (Includes undetermined)","Fall","Females","45 to 49","149,403","9,930,655","1,504.46","--"
"Unintentional (Includes undetermined)","Fall","Females","50 to 54","207,226","10,376,017","1,997.16","--"
"Unintentional (Includes undetermined)","Fall","Females","55 to 59","251,730","10,439,866","2,411.24","--"
"Unintentional (Includes undetermined)","Fall","Females","60 to 64","316,387","10,910,700","2,899.78","--"
"Unintentional (Includes undetermined)","Fall","Females","65 to 69","368,308","10,025,468","3,673.73","--"
"Unintentional (Includes undetermined)","Fall","Females","70 to 74","404,326","8,324,736","4,856.92","--"
"Unintentional (Includes undetermined)","Fall","Females","75 to 79","438,852","6,221,394","7,053.92","--"
"Unintentional (Includes undetermined)","Fall","Females","80 to 84","430,821","3,984,204","10,813.23","--"
"Unintentional (Includes undetermined)","Fall","Females","85+","721,537","3,911,019","18,448.83","--"
"Unintentional (Includes undetermined)","Fall","Females","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","0 to 4","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","10 to 14","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","15 to 19","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","25 to 29","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","30 to 34","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","35 to 39","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","40 to 44","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","45 to 49","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","50 to 54","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","55 to 59","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","60 to 64","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","70 to 74","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","80 to 84","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","85+","--","--","--","--"
"Unintentional (Includes undetermined)","Fall","Unknown","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","0 to 4","25,685","9,459,399","271.53","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","5 to 9","9,074","10,304,720","88.05","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","10 to 14","7,045","10,667,918","66.04","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","15 to 19","10,537","11,296,635","93.27","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","20 to 24","15,677","11,126,811","140.89","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","25 to 29","14,581","11,175,898","130.47","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","30 to 34","16,376","11,883,289","137.81","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","35 to 39","13,413","11,364,080","118.03","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","40 to 44","12,803","10,998,156","116.41","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","45 to 49","10,086","9,886,355","102.01","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","50 to 54","9,780","10,300,754","94.94","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","55 to 59","10,462","10,166,391","102.91","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","60 to 64","10,801","10,337,454","104.48","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","65 to 69","7,756","9,125,260","85.00","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","70 to 74","4,754","7,209,820","65.94","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","75 to 79","3,466","5,166,023","67.08","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","80 to 84","1,987","2,996,476","66.30","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","85+","--","2,283,961","--","--"
"Unintentional (Includes undetermined)","Fire / Burn","Males","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","0 to 4","19,264","9,051,761","212.83","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","5 to 9","10,269","9,848,037","104.28","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","10 to 14","7,299","10,166,646","71.79","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","15 to 19","11,521","10,778,845","106.89","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","20 to 24","14,397","10,684,361","134.74","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","25 to 29","12,629","10,842,462","116.48","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","30 to 34","11,786","11,640,867","101.25","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","35 to 39","11,410","11,142,564","102.40","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","40 to 44","10,380","10,885,893","95.35","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","45 to 49","9,091","9,930,655","91.54","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","50 to 54","9,078","10,376,017","87.49","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","55 to 59","8,948","10,439,866","85.71","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","60 to 64","7,180","10,910,700","65.81","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","65 to 69","6,160","10,025,468","61.45","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","70 to 74","3,371","8,324,736","40.50","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","75 to 79","3,557","6,221,394","57.18","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","80 to 84","1,352","3,984,204","33.94","--"
"Unintentional (Includes undetermined)","Fire / Burn","Females","85+","1,687","3,911,019","43.13","--"
"Unintentional (Includes undetermined)","Fire / Burn","Unknown","20 to 24","--","--","--","--"
"Unintentional (Includes undetermined)","Fire / Burn","Unknown","25 to 29","--","--","--","--"
"Unintentional (Includes undetermined)","Fire / Burn","Unknown","40 to 44","--","--","--","--"
"Unintentional (Includes undetermined)","Fire / Burn","Unknown","45 to 49","--","--","--","--"
"Unintentional (Includes undetermined)","Fire / Burn","Unknown","60 to 64","--","--","--","--"
"Unintentional (Includes undetermined)","Fire / Burn","Unknown","Unknown","--","--","--","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","0 to 4","66,358","9,459,399","701.51","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","5 to 9","35,260","10,304,720","342.17","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","10 to 14","13,394","10,667,918","125.55","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","15 to 19","14,742","11,296,635","130.50","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","20 to 24","19,238","11,126,811","172.89","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","25 to 29","20,382","11,175,898","182.38","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","30 to 34","24,567","11,883,289","206.74","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","35 to 39","22,506","11,364,080","198.04","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","40 to 44","18,963","10,998,156","172.42","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","45 to 49","16,774","9,886,355","169.67","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","50 to 54","13,284","10,300,754","128.97","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","55 to 59","14,612","10,166,391","143.73","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","60 to 64","13,948","10,337,454","134.93","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","65 to 69","11,991","9,125,260","131.41","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","70 to 74","8,565","7,209,820","118.80","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","75 to 79","5,903","5,166,023","114.26","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","80 to 84","4,313","2,996,476","143.94","--"
"Unintentional (Includes undetermined)","Foreign Body","Males","85+","4,808","2,283,961","210.53","--"
"Unintentional (Includes undetermined)","Foreign Body","Females","0 to 4","70,455","9,051,761","778.36","--"
"Unintentional (Includes undetermined)","Foreign Body","Females","5 to 9","28,121","9,848,037","285.55","--"
"Unintentional (Includes undetermined)","Foreign Body","Females","10 to 14","11,137","10,166,646","109.54","--"
"Unintentional (Includes undetermined)","Foreign Body","Females","15 to 19","13,669","10,778,845","126.81","--"
"Unintentional (Includes undetermined)","Foreign Body","Females","20 to 24","14,658","10,684,361","137.19","--"
"Unintentional (Includes undetermined)","Foreign Body","Females","25 to 29","13,198","10,842,462","121.73","--"
"Unintentional (Includes undetermined)","Foreign Body","Females","30 to 34","13,050","11,640,867","112.10","--"
"Unintentional (Includes undetermined)","Foreign Body","Females","35 to 39","13,033","11,142,564","116.97","--"
